job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
56,Data Scientist,MNC,Education,Germany,Hybrid,Senior,2,Bachelor,0,0,0,1,1,146070,9,2022,Low,6
57,Data Scientist,Startup,Education,Germany,Remote,Senior,4,PhD,0,1,0,1,0,111554,4,2024,Low,6
58,Data Scientist,Enterprise,Retail,UK,Hybrid,Entry,2,Master,0,1,1,0,1,78443,8,2025,Low,4
59,Business Analyst,MNC,E-commerce,India,Hybrid,Mid,9,PhD,1,0,1,0,1,117395,12,2022,Medium,6
60,Data Scientist,Enterprise,Education,Singapore,Onsite,Mid,10,Master,1,1,1,0,1,99220,11,2025,Medium,3
61,Data Analyst,Enterprise,Retail,Singapore,Onsite,Senior,14,PhD,0,1,0,1,1,120464,8,2023,Medium,1
62,Data Scientist,Medium,Finance,UK,Hybrid,Entry,13,Bachelor,0,0,0,1,0,62101,1,2022,High,7
63,Data Analyst,Enterprise,E-commerce,Australia,Remote,Entry,9,PhD,0,1,1,1,0,77738,3,2023,High,1
64,Business Analyst,Enterprise,Healthcare,Canada,Hybrid,Entry,11,PhD,1,0,0,0,0,48717,11,2026,Medium,2
65,AI Engineer,MNC,Finance,USA,Onsite,Senior,2,Bachelor,1,1,0,1,1,188535,11,2022,Low,2
66,Data Engineer,MNC,Technology,USA,Onsite,Entry,6,Bachelor,0,1,0,1,1,93213,7,2022,Low,1
67,Business Analyst,Medium,Education,Canada,Onsite,Entry,5,PhD,0,1,1,1,0,83646,10,2024,High,9
68,Data Analyst,Enterprise,Technology,Singapore,Remote,Mid,14,Master,0,0,0,0,0,76722,5,2020,Medium,3
69,Business Analyst,Medium,Retail,India,Onsite,Entry,12,Master,1,0,1,1,1,86179,9,2023,High,6
70,AI Engineer,MNC,Retail,India,Remote,Senior,12,Master,1,1,0,1,0,179574,11,2022,Medium,4
71,Business Analyst,Enterprise,Technology,USA,Remote,Senior,7,Bachelor,0,1,1,1,1,138474,6,2022,High,5
72,Machine Learning Engineer,MNC,Education,UK,Remote,Senior,11,Master,1,0,0,0,0,156890,6,2022,Medium,1
73,Data Scientist,MNC,Finance,UK,Onsite,Senior,6,Bachelor,1,1,1,0,1,145320,5,2024,Low,1
74,Data Analyst,Startup,Finance,USA,Remote,Senior,0,PhD,1,0,1,0,0,112251,10,2025,Low,6
75,Business Analyst,Enterprise,Retail,Germany,Hybrid,Senior,5,PhD,0,1,1,0,1,120812,5,2025,Low,5
76,Data Analyst,Enterprise,Healthcare,UK,Remote,Entry,13,Bachelor,1,1,0,0,0,45130,12,2024,High,8
77,Business Analyst,Enterprise,Technology,UK,Onsite,Senior,12,Bachelor,0,1,1,1,1,141412,4,2026,High,4
78,Business Analyst,Enterprise,Technology,UK,Hybrid,Senior,8,Bachelor,0,0,1,0,1,121099,12,2022,High,8
79,Machine Learning Engineer,Medium,Healthcare,UK,Onsite,Entry,0,Bachelor,1,0,1,1,1,126619,6,2020,High,8
80,Data Engineer,MNC,E-commerce,Canada,Remote,Mid,6,PhD,0,0,1,1,0,120073,6,2024,High,7
81,Data Engineer,Enterprise,E-commerce,Germany,Onsite,Mid,0,Master,0,0,1,0,1,100060,9,2025,Low,3
82,Business Analyst,Enterprise,Finance,UK,Remote,Entry,6,PhD,1,1,0,0,0,50086,3,2021,Low,5
83,Business Analyst,Enterprise,E-commerce,Germany,Remote,Entry,10,Master,1,0,1,0,1,75242,3,2020,Medium,5
84,Data Engineer,MNC,Technology,India,Onsite,Entry,6,PhD,1,1,1,1,1,114292,5,2026,High,8
85,AI Engineer,Medium,Technology,Singapore,Remote,Mid,9,PhD,1,1,0,0,1,129860,6,2023,Medium,1
86,AI Engineer,Startup,Healthcare,USA,Onsite,Senior,14,PhD,1,1,1,1,0,170320,4,2026,High,2
87,Data Scientist,Medium,Healthcare,Canada,Hybrid,Senior,2,Master,1,0,1,0,1,123402,11,2025,Low,5
88,Data Scientist,MNC,Retail,Australia,Onsite,Entry,6,Bachelor,1,1,0,1,0,84658,4,2020,Low,6
89,Machine Learning Engineer,Enterprise,E-commerce,Canada,Onsite,Mid,6,Master,0,0,1,0,0,125559,2,2025,High,9
90,Data Scientist,Medium,Retail,India,Hybrid,Entry,4,Bachelor,1,0,1,1,0,76365,4,2020,High,1
91,Data Engineer,MNC,Retail,Canada,Remote,Mid,8,PhD,1,1,1,1,0,120339,11,2024,High,2
92,Data Engineer,MNC,Retail,Germany,Remote,Mid,7,Master,0,0,1,1,1,134005,12,2022,High,2
93,AI Engineer,MNC,E-commerce,Germany,Onsite,Senior,14,Bachelor,1,0,1,1,1,199954,12,2025,High,8
94,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,4,Master,1,0,0,0,1,145728,5,2024,Low,4
95,AI Engineer,Startup,Healthcare,India,Remote,Mid,4,PhD,0,0,1,0,1,137769,3,2021,Low,6
96,Machine Learning Engineer,Startup,Retail,Australia,Hybrid,Mid,12,PhD,0,0,0,0,0,115242,9,2026,High,8
97,Data Analyst,Enterprise,Education,Singapore,Hybrid,Mid,10,Master,1,1,0,0,0,79799,6,2026,Medium,2
98,Business Analyst,Medium,Healthcare,India,Remote,Senior,14,Bachelor,0,1,0,0,0,101050,1,2022,Medium,5
99,Data Scientist,Enterprise,Retail,USA,Onsite,Senior,8,Bachelor,0,0,1,1,1,137738,9,2023,High,2
100,Data Engineer,Enterprise,Healthcare,Germany,Remote,Mid,8,Bachelor,0,1,0,1,1,104931,7,2026,Medium,2
101,Machine Learning Engineer,Startup,Education,Germany,Remote,Mid,8,Master,0,1,0,1,1,137216,9,2026,Medium,4
102,Data Analyst,Startup,Healthcare,India,Remote,Mid,8,PhD,0,1,0,1,0,93125,8,2021,Medium,6
103,Machine Learning Engineer,Enterprise,E-commerce,UK,Onsite,Mid,9,Bachelor,0,0,1,0,0,133105,4,2022,Medium,2
104,Data Engineer,MNC,Finance,India,Remote,Entry,9,Bachelor,0,1,0,1,1,91312,9,2022,Medium,5
105,Data Analyst,MNC,Retail,Singapore,Hybrid,Senior,7,Bachelor,1,1,1,1,1,158687,12,2020,High,8
106,AI Engineer,Startup,Finance,Singapore,Hybrid,Entry,3,Master,0,1,0,0,1,99630,9,2022,High,8
107,AI Engineer,Enterprise,Finance,Canada,Hybrid,Senior,1,PhD,1,1,1,1,0,170153,2,2023,High,3
108,Data Scientist,Medium,Education,Canada,Onsite,Mid,2,PhD,0,1,0,0,1,88810,12,2020,Low,3
109,Machine Learning Engineer,Startup,E-commerce,Germany,Hybrid,Entry,10,Master,1,1,0,1,0,105861,2,2023,Medium,1
110,Machine Learning Engineer,MNC,Retail,India,Onsite,Mid,14,Bachelor,1,1,1,1,1,178428,2,2026,High,3
111,Data Engineer,Enterprise,Retail,India,Onsite,Senior,7,Bachelor,0,1,0,0,1,111876,9,2025,Low,4
112,Data Engineer,Enterprise,Education,Canada,Hybrid,Entry,13,Master,1,1,0,0,1,58963,9,2020,High,7
113,Machine Learning Engineer,Startup,Finance,India,Onsite,Entry,1,Bachelor,0,1,0,1,1,116249,4,2023,High,7
114,Data Engineer,Startup,Technology,Germany,Remote,Mid,13,Master,0,1,1,1,0,101455,3,2026,High,5
115,Machine Learning Engineer,Startup,Education,India,Hybrid,Entry,3,Bachelor,1,1,1,0,1,118633,8,2022,Low,1
116,AI Engineer,MNC,Finance,Germany,Onsite,Mid,9,PhD,1,0,1,0,1,157988,1,2024,Medium,2
117,Data Engineer,MNC,Technology,Australia,Hybrid,Entry,6,PhD,0,1,1,0,0,81232,3,2020,Low,4
118,Data Scientist,MNC,Education,Singapore,Hybrid,Mid,12,Master,0,0,1,0,0,108881,2,2024,Medium,1
119,Data Analyst,Enterprise,Education,UK,Hybrid,Entry,3,PhD,0,0,0,0,1,63125,3,2021,Low,3
120,Data Analyst,Medium,Healthcare,Singapore,Hybrid,Senior,12,Master,0,1,1,1,0,131022,10,2021,High,5
121,Business Analyst,MNC,Healthcare,USA,Onsite,Senior,3,Bachelor,1,0,0,0,0,116142,10,2022,Low,2
122,AI Engineer,MNC,E-commerce,Singapore,Remote,Entry,11,Bachelor,1,1,0,1,1,137935,11,2022,Medium,6
123,Data Analyst,Startup,Retail,USA,Remote,Entry,14,Bachelor,1,0,0,1,0,69161,10,2025,High,8
124,Machine Learning Engineer,MNC,Healthcare,Singapore,Hybrid,Entry,5,Master,0,0,1,0,1,139244,11,2021,Low,2
125,AI Engineer,MNC,Finance,UK,Onsite,Mid,12,Bachelor,0,0,1,0,1,157309,7,2025,Medium,2
126,AI Engineer,MNC,E-commerce,Australia,Hybrid,Mid,7,Bachelor,1,1,0,1,0,149682,2,2020,Low,3
127,Machine Learning Engineer,MNC,Finance,UK,Onsite,Mid,7,PhD,1,0,0,0,0,133398,8,2025,Low,2
128,AI Engineer,Enterprise,E-commerce,Germany,Remote,Senior,5,PhD,0,1,0,1,0,150942,8,2025,High,7
129,Data Analyst,Startup,Finance,UK,Remote,Entry,12,Bachelor,1,0,0,1,0,64993,3,2025,Medium,2
130,Machine Learning Engineer,Enterprise,Education,USA,Hybrid,Senior,10,Master,1,0,0,0,0,141929,5,2025,Medium,4
131,Data Scientist,Medium,Technology,USA,Hybrid,Entry,9,Master,0,0,1,0,0,68983,6,2025,Medium,4
132,AI Engineer,Medium,Education,India,Onsite,Entry,6,PhD,1,0,1,1,0,117773,11,2021,High,9
133,Machine Learning Engineer,MNC,Healthcare,Canada,Hybrid,Senior,2,Bachelor,1,1,1,1,1,200825,5,2021,High,7
134,Data Scientist,Enterprise,Education,Singapore,Hybrid,Senior,14,Master,0,0,1,0,1,120866,12,2023,High,9
135,AI Engineer,MNC,Education,Australia,Hybrid,Entry,12,PhD,0,0,1,0,0,123011,2,2025,Medium,3
136,Data Engineer,Enterprise,Retail,India,Onsite,Senior,13,Bachelor,0,0,0,1,1,125019,4,2022,High,8
137,Data Scientist,Startup,Retail,Germany,Onsite,Senior,12,PhD,0,0,1,0,0,110374,7,2021,Medium,1
138,Business Analyst,MNC,Technology,Australia,Remote,Senior,0,PhD,0,1,1,1,1,158277,9,2020,High,7
139,Data Analyst,MNC,E-commerce,Australia,Onsite,Senior,8,Bachelor,1,1,1,0,0,133866,2,2022,Medium,3
140,AI Engineer,Medium,Retail,UK,Onsite,Entry,1,PhD,0,1,0,1,1,114859,11,2022,Low,3
141,AI Engineer,MNC,E-commerce,India,Onsite,Mid,6,Master,0,1,1,1,1,177504,3,2020,High,1
142,Data Engineer,Medium,Finance,UK,Remote,Mid,6,Bachelor,0,1,1,1,1,116392,1,2023,High,9
143,Machine Learning Engineer,Startup,E-commerce,UK,Remote,Mid,0,PhD,0,1,0,1,1,137944,10,2024,Low,5
144,Data Scientist,Startup,Technology,USA,Hybrid,Entry,2,Bachelor,0,1,0,0,0,48941,5,2021,Low,6
145,AI Engineer,Medium,E-commerce,Canada,Hybrid,Entry,9,Bachelor,1,0,0,0,1,97415,4,2024,Medium,2
146,Machine Learning Engineer,Medium,E-commerce,India,Hybrid,Entry,3,PhD,0,1,0,0,0,89696,4,2022,High,8
147,Data Scientist,Enterprise,Finance,Australia,Remote,Mid,1,PhD,1,0,0,0,0,73259,12,2021,Low,5
148,AI Engineer,Startup,Education,India,Remote,Entry,11,Master,0,1,0,0,1,104261,9,2023,Medium,4
149,Data Scientist,Enterprise,E-commerce,Canada,Remote,Senior,13,PhD,1,0,0,0,1,105977,8,2023,Medium,4
150,Machine Learning Engineer,MNC,Healthcare,Canada,Remote,Senior,7,Bachelor,0,1,1,0,1,187503,8,2021,Low,2
151,Data Scientist,Medium,Healthcare,Germany,Hybrid,Mid,4,Master,1,0,1,1,0,101445,11,2023,High,8
152,Data Analyst,MNC,Retail,Australia,Onsite,Mid,12,Master,1,0,1,0,0,113436,7,2026,Medium,2
153,Data Analyst,Medium,Retail,Singapore,Hybrid,Mid,4,Bachelor,1,0,0,0,1,85819,11,2023,Low,2
154,Machine Learning Engineer,MNC,Finance,USA,Onsite,Entry,11,PhD,0,1,0,1,1,139323,3,2021,High,8
155,Data Engineer,Enterprise,Technology,Australia,Onsite,Entry,14,PhD,0,0,1,0,1,73285,4,2021,Medium,2
156,Data Scientist,Medium,Healthcare,Canada,Hybrid,Senior,2,Master,1,0,1,0,1,123402,11,2025,Low,5
157,Data Engineer,Startup,Finance,Germany,Hybrid,Senior,4,PhD,1,0,1,0,0,118926,11,2021,Low,2
158,Data Scientist,MNC,Finance,Germany,Remote,Senior,9,PhD,1,1,1,0,0,132418,2,2025,Medium,5
159,Data Analyst,Medium,Technology,USA,Hybrid,Entry,9,Master,0,1,1,0,1,74200,5,2021,High,9
160,Machine Learning Engineer,Startup,Technology,USA,Onsite,Mid,7,PhD,1,1,1,0,1,141604,6,2023,Low,6
161,Data Scientist,Startup,Technology,USA,Hybrid,Senior,8,Master,0,1,0,1,0,110945,9,2024,Medium,5
162,Data Scientist,Startup,Finance,Germany,Hybrid,Mid,0,Master,1,1,0,1,1,98698,7,2022,Low,1
163,Data Analyst,Enterprise,E-commerce,Germany,Onsite,Entry,13,PhD,0,1,1,1,0,83387,4,2026,High,6
164,Data Analyst,Medium,Retail,Canada,Hybrid,Entry,12,Master,0,0,0,0,1,60787,4,2023,Medium,6
165,Business Analyst,Startup,Healthcare,Germany,Remote,Mid,10,PhD,1,0,0,1,0,88824,3,2023,High,7
166,Data Scientist,Enterprise,Education,Australia,Hybrid,Mid,5,Master,0,0,0,0,0,73644,3,2020,Low,3
167,Data Analyst,Enterprise,Healthcare,USA,Onsite,Entry,6,Master,1,0,0,1,1,78044,9,2023,Low,4
168,Business Analyst,MNC,Education,Australia,Onsite,Senior,10,Bachelor,1,1,1,1,1,158336,12,2022,High,7
169,Data Scientist,Medium,Technology,UK,Remote,Entry,4,PhD,1,0,1,1,1,87536,6,2026,High,8
170,Data Engineer,MNC,Technology,Singapore,Hybrid,Entry,6,Master,0,1,1,0,0,83676,10,2024,Low,6
171,Data Scientist,Medium,E-commerce,Canada,Remote,Entry,13,Bachelor,0,1,0,0,0,54173,10,2020,Medium,2
172,Data Analyst,Startup,Finance,Singapore,Hybrid,Entry,12,Bachelor,0,0,0,0,1,63263,6,2023,Medium,4
173,Business Analyst,Medium,E-commerce,Australia,Onsite,Entry,4,PhD,1,1,1,1,1,87562,1,2022,High,7
174,Data Scientist,MNC,Retail,Singapore,Hybrid,Entry,5,PhD,1,0,1,0,0,81167,6,2022,High,9
175,Data Scientist,Startup,E-commerce,Germany,Onsite,Mid,10,Master,0,0,1,0,1,96134,8,2023,Medium,2
176,Data Scientist,Enterprise,E-commerce,UK,Remote,Entry,2,PhD,1,0,0,1,0,65182,3,2022,Low,2
177,Business Analyst,Medium,Retail,Canada,Hybrid,Senior,0,PhD,1,1,1,1,0,131310,1,2022,High,5
178,Business Analyst,Medium,Technology,Canada,Hybrid,Senior,2,PhD,1,0,0,1,1,129244,5,2021,Low,3
179,Machine Learning Engineer,Enterprise,Technology,Germany,Onsite,Entry,12,PhD,0,1,1,0,0,107834,3,2022,High,8
180,AI Engineer,Enterprise,Retail,Germany,Hybrid,Senior,5,PhD,1,0,0,0,0,138942,11,2021,High,9
181,AI Engineer,MNC,Finance,Canada,Hybrid,Entry,8,PhD,1,1,0,1,0,126544,9,2020,Medium,3
182,Data Scientist,MNC,Healthcare,Canada,Onsite,Senior,11,PhD,1,0,1,1,0,154396,2,2025,High,2
183,Machine Learning Engineer,Enterprise,E-commerce,Canada,Remote,Entry,1,PhD,0,1,1,1,1,129246,5,2026,High,5
184,Data Engineer,Medium,E-commerce,UK,Onsite,Senior,10,Master,0,0,0,1,1,128072,9,2025,Medium,4
185,Data Engineer,Medium,E-commerce,UK,Onsite,Mid,4,PhD,0,0,0,0,0,71901,1,2020,Low,5
186,Data Engineer,Startup,Retail,USA,Onsite,Senior,2,Master,1,1,0,1,1,128200,7,2025,Low,4
187,Data Scientist,Enterprise,Healthcare,UK,Onsite,Mid,8,PhD,1,1,1,0,1,97228,10,2022,Medium,1
188,AI Engineer,MNC,Finance,UK,Remote,Entry,2,PhD,1,1,0,1,1,137629,10,2021,Low,2
189,Data Analyst,MNC,E-commerce,India,Hybrid,Entry,0,Bachelor,0,1,1,1,1,106569,2,2021,High,7
190,Data Analyst,MNC,Retail,Singapore,Remote,Mid,9,Bachelor,0,1,1,1,0,121207,4,2026,High,1
191,Machine Learning Engineer,MNC,Retail,Germany,Remote,Mid,9,Master,1,0,0,0,0,130396,3,2022,Medium,5
192,Data Scientist,Medium,E-commerce,Canada,Hybrid,Senior,11,Master,0,1,0,1,1,121844,3,2026,Medium,3
193,Business Analyst,Enterprise,Technology,UK,Remote,Senior,8,Bachelor,1,0,0,0,1,108636,5,2026,Medium,5
194,Data Scientist,MNC,Technology,Singapore,Remote,Entry,1,Bachelor,1,0,0,1,0,86079,11,2021,Low,4
195,Data Engineer,Medium,Retail,Australia,Remote,Entry,7,Master,0,1,0,1,1,77218,10,2023,Low,2
196,Business Analyst,Enterprise,Retail,Germany,Hybrid,Senior,2,Bachelor,0,1,0,0,0,96586,10,2021,Low,3
197,Data Engineer,Medium,Education,Germany,Remote,Senior,14,Master,1,1,0,1,0,117912,10,2020,Medium,5
198,AI Engineer,Startup,Education,Australia,Remote,Mid,14,Master,1,0,1,1,0,142316,6,2022,High,2
199,AI Engineer,Startup,E-commerce,Australia,Remote,Senior,3,PhD,0,0,0,0,1,152317,1,2025,Low,5
200,Business Analyst,Startup,Education,Singapore,Remote,Entry,5,PhD,0,0,0,0,0,45268,8,2024,High,9
201,AI Engineer,Medium,Retail,Canada,Onsite,Senior,2,Master,0,1,0,0,0,143388,5,2023,High,7
202,Business Analyst,Startup,Finance,India,Remote,Entry,0,Bachelor,1,0,1,1,1,88111,12,2024,High,7
203,Data Engineer,MNC,Healthcare,Germany,Onsite,Entry,12,PhD,1,0,0,1,1,95432,11,2026,High,7
204,Machine Learning Engineer,Medium,Healthcare,Singapore,Remote,Mid,1,PhD,0,1,0,0,1,128755,7,2026,High,8
205,Machine Learning Engineer,Medium,E-commerce,Australia,Remote,Senior,0,Master,0,1,0,1,0,157952,1,2026,Low,1
206,Data Scientist,MNC,Retail,India,Remote,Entry,14,Master,1,1,1,1,0,100547,7,2024,High,5
207,Business Analyst,Medium,Retail,India,Remote,Senior,4,Bachelor,0,1,1,1,0,130598,7,2025,High,8
208,Data Scientist,Medium,Finance,Germany,Onsite,Senior,12,PhD,1,1,1,0,0,119755,4,2021,Medium,6
209,Data Scientist,MNC,Healthcare,UK,Remote,Entry,13,Master,0,0,0,1,1,93199,4,2022,Medium,3
210,Data Engineer,Medium,Technology,Germany,Hybrid,Senior,5,PhD,1,1,1,0,0,110485,11,2023,Low,4
211,AI Engineer,Medium,Retail,UK,Onsite,Senior,11,Master,0,0,0,1,0,154179,12,2026,Medium,3
212,Data Scientist,MNC,Finance,Australia,Remote,Mid,6,Master,1,0,0,0,0,90698,1,2021,High,8
213,Data Scientist,Medium,Technology,Canada,Hybrid,Senior,0,PhD,0,1,0,1,1,128354,12,2026,High,8
214,Business Analyst,Enterprise,Finance,Australia,Remote,Senior,5,Master,1,1,0,0,1,113148,6,2024,Low,1
215,Data Scientist,MNC,Technology,India,Onsite,Senior,9,Bachelor,0,1,1,0,0,136686,5,2026,High,9
216,Data Scientist,Enterprise,Finance,Australia,Hybrid,Senior,14,PhD,0,1,1,0,1,129501,10,2022,Medium,3
217,Business Analyst,Medium,E-commerce,Australia,Remote,Entry,7,PhD,1,0,1,1,1,88942,8,2024,High,4
218,Data Engineer,Startup,Education,UK,Remote,Senior,12,Bachelor,1,1,1,1,1,144283,6,2024,High,6
219,Business Analyst,Startup,E-commerce,Canada,Remote,Senior,3,PhD,1,0,0,1,0,114486,12,2025,Low,4
220,Data Analyst,Medium,E-commerce,Singapore,Remote,Mid,13,Master,1,0,0,0,0,73134,5,2023,High,7
221,Business Analyst,MNC,Technology,USA,Hybrid,Senior,1,PhD,0,0,1,0,0,131145,7,2022,Low,1
222,Data Analyst,Startup,E-commerce,Canada,Remote,Mid,6,PhD,1,1,0,0,1,89077,4,2022,Low,6
223,Data Analyst,Medium,Retail,UK,Remote,Senior,5,Bachelor,1,0,0,0,1,108934,7,2024,Low,1
224,Machine Learning Engineer,Enterprise,Technology,Australia,Hybrid,Entry,8,PhD,1,1,0,0,1,96460,9,2022,Medium,4
225,Data Engineer,Startup,Retail,Germany,Hybrid,Entry,14,Master,0,0,0,0,1,59384,10,2024,Medium,1
226,Data Analyst,Enterprise,E-commerce,Germany,Onsite,Entry,12,PhD,1,1,0,0,1,59427,7,2025,High,8
227,AI Engineer,Enterprise,Education,Singapore,Hybrid,Mid,14,Master,1,0,0,0,1,122422,9,2021,High,9
